INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-12-30T09:00:00-00:00,2018-12-30T10:00:00-00:00,2018-12-30,2,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T10:00:00-00:00,2018-12-30T11:00:00-00:00,2018-12-30,3,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T11:00:00-00:00,2018-12-30T12:00:00-00:00,2018-12-30,4,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T16:00:00-00:00,2018-12-30T17:00:00-00:00,2018-12-30,9,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T00:00:00-00:00,2018-12-31T01:00:00-00:00,2018-12-30,17,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T04:00:00-00:00,2018-12-31T05:00:00-00:00,2018-12-30,21,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T05:00:00-00:00,2018-12-31T06:00:00-00:00,2018-12-30,22,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T08:00:00-00:00,2018-12-30T09:00:00-00:00,2018-12-30,1,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T12:00:00-00:00,2018-12-30T13:00:00-00:00,2018-12-30,5,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T21:00:00-00:00,2018-12-30T22:00:00-00:00,2018-12-30,14,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,-1.03803,2
2018-12-30T22:00:00-00:00,2018-12-30T23:00:00-00:00,2018-12-30,15,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T03:00:00-00:00,2018-12-31T04:00:00-00:00,2018-12-30,20,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-31T07:00:00-00:00,2018-12-31T08:00:00-00:00,2018-12-30,24,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T13:00:00-00:00,2018-12-30T14:00:00-00:00,2018-12-30,6,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T23:00:00-00:00,2018-12-31T00:00:00-00:00,2018-12-30,16,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
2018-12-30T19:00:00-00:00,2018-12-30T20:00:00-00:00,2018-12-30,12,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,-1.7347,2
2018-12-31T02:00:00-00:00,2018-12-31T03:00:00-00:00,2018-12-30,19,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCC,LMP_CONG_PRC,2C559_1_B1,ALL,1,0,2
